file,round,process,target,metric,matrix,startnnz,endnnz,time
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,7,2,comp_rate,A,54731851,695535,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,7,2,comp_rate,B,54731851,448030,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,0,0,comp_rate,B,2086400,2086400,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,0,0,comp_rate,A,2086400,2086400,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,13,2,comp_rate,A,54731851,448030,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,13,2,comp_rate,B,54731851,695535,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,3,1,comp_rate,B,247478,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,3,3,comp_rate,A,247478,247478,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,12,1,comp_rate,A,247478,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,12,3,comp_rate,B,247478,247478,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,11,1,comp_rate,A,1350581,695014,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,11,3,comp_rate,B,1350581,1350581,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,5,0,comp_rate,A,2086400,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,5,0,comp_rate,B,2086400,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,5,3,comp_rate,A,2086400,2086400,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,5,3,comp_rate,B,2086400,2086400,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,6,1,comp_rate,A,221855,221855,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,6,3,comp_rate,B,221855,221855,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,6,0,comp_rate,A,221855,221855,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,14,3,comp_rate,A,1350581,1350581,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,14,1,comp_rate,B,1350581,695014,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,15,0,comp_rate,A,2086400,26710,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,15,0,comp_rate,B,2086400,26710,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,3,0,comp_rate,B,247478,247478,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,12,0,comp_rate,A,247478,247478,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,9,3,comp_rate,A,221855,221855,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,9,1,comp_rate,B,221855,221855,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,9,0,comp_rate,B,221855,221855,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,14,2,comp_rate,A,1350581,1350581,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,11,2,comp_rate,B,1350581,1350581,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,9,1,comp_rate,A,221855,221855,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,8,2,comp_rate,A,54034491,54034491,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,8,2,comp_rate,B,54034491,54034491,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,8,1,comp_rate,B,54034491,448057,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,8,0,comp_rate,B,54034491,54034491,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,8,1,comp_rate,A,54034491,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,3,1,comp_rate,A,247478,247478,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,15,3,comp_rate,A,2086400,2086400,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,15,3,comp_rate,B,2086400,2086400,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,15,2,comp_rate,A,2086400,75854,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,3,3,comp_rate,B,247478,247478,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,12,1,comp_rate,B,247478,247478,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,12,2,comp_rate,B,247478,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,12,3,comp_rate,A,247478,247478,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,14,3,comp_rate,B,1350581,1350581,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,14,0,comp_rate,A,1350581,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,11,3,comp_rate,A,1350581,1350581,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,11,0,comp_rate,A,1350581,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,11,0,comp_rate,B,1350581,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,9,2,comp_rate,B,221855,221855,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,12,2,comp_rate,A,247478,247478,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,15,2,comp_rate,B,2086400,75854,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,7,1,comp_rate,B,54731851,54731851,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,7,1,comp_rate,A,54731851,54731851,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,7,0,comp_rate,A,54731851,473680,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,7,0,comp_rate,B,54731851,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,2,2,comp_rate,A,54034491,54034491,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,2,2,comp_rate,B,54034491,54034491,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,2,1,comp_rate,A,54034491,448057,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,2,1,comp_rate,B,54034491,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,2,0,comp_rate,A,54034491,54034491,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,2,3,comp_rate,A,54034491,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,2,3,comp_rate,B,54034491,473653,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,13,1,comp_rate,A,54731851,54731851,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,13,1,comp_rate,B,54731851,54731851,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,13,0,comp_rate,A,54731851,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,13,0,comp_rate,B,54731851,473680,
